month_t_minus_12,month_t_minus_11,month_t_minus_10,month_t_minus_9,month_t_minus_8,month_t_minus_7,month_t_minus_6,month_t_minus_5,month_t_minus_4,month_t_minus_3,month_t_minus_2,month_t_minus_1
0.8982541,0.81573033,0.011122397,-0.71095985,-1.1338942,-1.2061043,-0.8347464,-0.9379016,-0.94821733,-0.71095985,-0.08171706,0.2586936
0.81573033,0.011122397,-0.71095985,-1.1338942,-1.2061043,-0.8347464,-0.9379016,-0.94821733,-0.71095985,-0.08171706,0.2586936,0.17616987
0.011122397,-0.71095985,-1.1338942,-1.2061043,-0.8347464,-0.9379016,-0.94821733,-0.71095985,-0.08171706,0.2586936,0.17616987,0.20711702
-0.71095985,-1.1338942,-1.2061043,-0.8347464,-0.9379016,-0.94821733,-0.71095985,-0.08171706,0.2586936,0.17616987,0.20711702,-0.12297794
-1.1338942,-1.2061043,-0.8347464,-0.9379016,-0.94821733,-0.71095985,-0.08171706,0.2586936,0.17616987,0.20711702,-0.12297794,-0.56654376
-1.2061043,-0.8347464,-0.9379016,-0.94821733,-0.71095985,-0.08171706,0.2586936,0.17616987,0.20711702,-0.12297794,-0.56654376,-0.96884674
-0.8347464,-0.9379016,-0.94821733,-0.71095985,-0.08171706,0.2586936,0.17616987,0.20711702,-0.12297794,-0.56654376,-0.96884674,-0.9379016
-0.9379016,-0.94821733,-0.71095985,-0.08171706,0.2586936,0.17616987,0.20711702,-0.12297794,-0.56654376,-0.96884674,-0.9379016,-1.1648414
-0.94821733,-0.71095985,-0.08171706,0.2586936,0.17616987,0.20711702,-0.12297794,-0.56654376,-0.96884674,-0.9379016,-1.1648414,-1.2473651
-0.71095985,-0.08171706,0.2586936,0.17616987,0.20711702,-0.12297794,-0.56654376,-0.96884674,-0.9379016,-1.1648414,-1.2473651,-1.14421
-0.08171706,0.2586936,0.17616987,0.20711702,-0.12297794,-0.56654376,-0.96884674,-0.9379016,-1.1648414,-1.2473651,-1.14421,-0.68001467
0.2586936,0.17616987,0.20711702,-0.12297794,-0.56654376,-0.96884674,-0.9379016,-1.1648414,-1.2473651,-1.14421,-0.68001467,0.3102722
0.17616987,0.20711702,-0.12297794,-0.56654376,-0.96884674,-0.9379016,-1.1648414,-1.2473651,-1.14421,-0.68001467,0.3102722,0.9292012
0.20711702,-0.12297794,-0.56654376,-0.96884674,-0.9379016,-1.1648414,-1.2473651,-1.14421,-0.68001467,0.3102722,0.9292012,0.77446747
-0.12297794,-0.56654376,-0.96884674,-0.9379016,-1.1648414,-1.2473651,-1.14421,-0.68001467,0.3102722,0.9292012,0.77446747,0.7641537
-0.56654376,-0.96884674,-0.9379016,-1.1648414,-1.2473651,-1.14421,-0.68001467,0.3102722,0.9292012,0.77446747,0.7641537,0.9292012
-0.96884674,-0.9379016,-1.1648414,-1.2473651,-1.14421,-0.68001467,0.3102722,0.9292012,0.77446747,0.7641537,0.9292012,0.6197357
-0.9379016,-1.1648414,-1.2473651,-1.14421,-0.68001467,0.3102722,0.9292012,0.77446747,0.7641537,0.9292012,0.6197357,0.53721195
-1.1648414,-1.2473651,-1.14421,-0.68001467,0.3102722,0.9292012,0.77446747,0.7641537,0.9292012,0.6197357,0.53721195,0.4959511
-1.2473651,-1.14421,-0.68001467,0.3102722,0.9292012,0.77446747,0.7641537,0.9292012,0.6197357,0.53721195,0.4959511,0.60942
-1.14421,-0.68001467,0.3102722,0.9292012,0.77446747,0.7641537,0.9292012,0.6197357,0.53721195,0.4959511,0.60942,0.7641537
-0.68001467,0.3102722,0.9292012,0.77446747,0.7641537,0.9292012,0.6197357,0.53721195,0.4959511,0.60942,0.7641537,0.47531965
0.3102722,0.9292012,0.77446747,0.7641537,0.9292012,0.6197357,0.53721195,0.4959511,0.60942,0.7641537,0.47531965,0.2586936
0.9292012,0.77446747,0.7641537,0.9292012,0.6197357,0.53721195,0.4959511,0.60942,0.7641537,0.47531965,0.2586936,0.1452247
